source_label,source_cluster,source_x,source_y,source_z,target_label,target_cluster,target_x,target_y,target_z,weight
Austin | Metro,0,0.7451131172063897,-0.10295183751673866,0.5001842919802612,Charlotte | Metro,0,0.16110936930407718,-0.027537531089236032,0.07019654192166302,0.6407334695711934
Austin | Metro,0,0.7451131172063897,-0.10295183751673866,0.5001842919802612,Denver | Metro,0,0.5286100862766986,-0.4374394346020018,0.48801538056278826,0.7571166367508956
Austin | Metro,0,0.7451131172063897,-0.10295183751673866,0.5001842919802612,Nashville | Metro,0,0.30234759418488966,0.06591973367640748,0.5271315479438905,0.7056052966391776
Charlotte | Metro,0,0.16110936930407718,-0.027537531089236032,0.07019654192166302,Columbus | Metro,0,-0.15431893887348042,0.24660098895908433,0.24238575541105675,0.8267153626470282
Charlotte | Metro,0,0.16110936930407718,-0.027537531089236032,0.07019654192166302,Denver | Metro,0,0.5286100862766986,-0.4374394346020018,0.48801538056278826,0.6214298446169005
Charlotte | Metro,0,0.16110936930407718,-0.027537531089236032,0.07019654192166302,Indianapolis | Metro,0,0.016351270779910953,0.43869996418023516,0.5122822736537759,0.7638988049821197
Charlotte | Metro,0,0.16110936930407718,-0.027537531089236032,0.07019654192166302,Nashville | Metro,0,0.30234759418488966,0.06591973367640748,0.5271315479438905,0.875300865592951
Charlotte | Metro,0,0.16110936930407718,-0.027537531089236032,0.07019654192166302,Orlando | Metro,0,-0.12900320350550454,0.13587161713196252,-0.5771079441452782,0.6898283391548673
Charlotte | Metro,0,0.16110936930407718,-0.027537531089236032,0.07019654192166302,Philadelphia | Metro,1,-0.2519879156623041,-0.5121660202269401,-0.1493725256559339,0.41393198491443167
Charlotte | Metro,0,0.16110936930407718,-0.027537531089236032,0.07019654192166302,SanAntonio | Metro,0,0.15638949259892046,0.5030020524834325,-0.5491423014352834,0.4680095802166813
Charlotte | Metro,0,0.16110936930407718,-0.027537531089236032,0.07019654192166302,SanFrancisco | Metro,1,0.25599261132567824,-1.0,0.2528897842620695,0.1932260201009004
Charlotte | Metro,0,0.16110936930407718,-0.027537531089236032,0.07019654192166302,Tampa | Metro,1,-0.3976172032914356,-0.08089846559365725,-0.4489169900109255,0.5121664978089123
Columbus | Metro,0,-0.15431893887348042,0.24660098895908433,0.24238575541105675,Indianapolis | Metro,0,0.016351270779910953,0.43869996418023516,0.5122822736537759,0.9307385299357834
Columbus | Metro,0,-0.15431893887348042,0.24660098895908433,0.24238575541105675,Jacksonville | Metro,0,-0.3252981434901084,0.471721396023668,-0.24839657296378112,0.7846759135633128
Columbus | Metro,0,-0.15431893887348042,0.24660098895908433,0.24238575541105675,Louisville | Metro,0,-0.3630558232680279,0.732885236212184,0.2809265595978036,0.7511123876708659
Columbus | Metro,0,-0.15431893887348042,0.24660098895908433,0.24238575541105675,Nashville | Metro,0,0.30234759418488966,0.06591973367640748,0.5271315479438905,0.8723481744500393
Columbus | Metro,0,-0.15431893887348042,0.24660098895908433,0.24238575541105675,Philadelphia | Metro,1,-0.2519879156623041,-0.5121660202269401,-0.1493725256559339,0.3659156896223166
Denver | Metro,0,0.5286100862766986,-0.4374394346020018,0.48801538056278826,Nashville | Metro,0,0.30234759418488966,0.06591973367640748,0.5271315479438905,0.6566160703990239
Denver | Metro,0,0.5286100862766986,-0.4374394346020018,0.48801538056278826,SanFrancisco | Metro,1,0.25599261132567824,-1.0,0.2528897842620695,0.35139581584612395
Indianapolis | Metro,0,0.016351270779910953,0.43869996418023516,0.5122822736537759,Louisville | Metro,0,-0.3630558232680279,0.732885236212184,0.2809265595978036,0.7929522354995914
Indianapolis | Metro,0,0.016351270779910953,0.43869996418023516,0.5122822736537759,Nashville | Metro,0,0.30234759418488966,0.06591973367640748,0.5271315479438905,0.8250464960054584
Jacksonville | Metro,0,-0.3252981434901084,0.471721396023668,-0.24839657296378112,Louisville | Metro,0,-0.3630558232680279,0.732885236212184,0.2809265595978036,0.7962060566646844
Jacksonville | Metro,0,-0.3252981434901084,0.471721396023668,-0.24839657296378112,Orlando | Metro,0,-0.12900320350550454,0.13587161713196252,-0.5771079441452782,0.7855789264922977
Jacksonville | Metro,0,-0.3252981434901084,0.471721396023668,-0.24839657296378112,SanAntonio | Metro,0,0.15638949259892046,0.5030020524834325,-0.5491423014352834,0.5473347132680756
Jacksonville | Metro,0,-0.3252981434901084,0.471721396023668,-0.24839657296378112,Tampa | Metro,1,-0.3976172032914356,-0.08089846559365725,-0.4489169900109255,0.689915358771453
Miami | Metro,1,-0.5446323135857041,-0.43370769963840045,-0.9010758011221067,Orlando | Metro,0,-0.12900320350550454,0.13587161713196252,-0.5771079441452782,0.3375849324682862
Miami | Metro,1,-0.5446323135857041,-0.43370769963840045,-0.9010758011221067,Philadelphia | Metro,1,-0.2519879156623041,-0.5121660202269401,-0.1493725256559339,0.2868652705296858
Miami | Metro,1,-0.5446323135857041,-0.43370769963840045,-0.9010758011221067,Tampa | Metro,1,-0.3976172032914356,-0.08089846559365725,-0.4489169900109255,0.39801118765169935
Orlando | Metro,0,-0.12900320350550454,0.13587161713196252,-0.5771079441452782,SanAntonio | Metro,0,0.15638949259892046,0.5030020524834325,-0.5491423014352834,0.6056357978689653
Orlando | Metro,0,-0.12900320350550454,0.13587161713196252,-0.5771079441452782,Tampa | Metro,1,-0.3976172032914356,-0.08089846559365725,-0.4489169900109255,0.7034565860029129
Philadelphia | Metro,1,-0.2519879156623041,-0.5121660202269401,-0.1493725256559339,SanFrancisco | Metro,1,0.25599261132567824,-1.0,0.2528897842620695,0.27362114448147606
Philadelphia | Metro,1,-0.2519879156623041,-0.5121660202269401,-0.1493725256559339,Tampa | Metro,1,-0.3976172032914356,-0.08089846559365725,-0.4489169900109255,0.40270011324889754
